id,title
d4c143f004d88b7286e6f999dea9d0d7,Accounting
81d654c920b0046a0d7ce04912cf68a7,Invoices and receipts
a76796d948dc769aae1ca26bfc9537eb,Product display - Other
56deca22a707214865f7ea3ae6391d67,Invoices
dd56421b288ed66bfa4cb2e502fb3c87,Receipts
29e85861dd61ebbab16f28e250c87161,Order confirmations
0084ff716402199f733f841f5937d3ae,Refunds
7fff84525c6516919851a9005373f87e,Returns
fa6b84b13ce63b1f620cbf5a776fa76f,Branding
7ee0509197712bbc3bd83e153819e645,Sender email
f426dc92a8b61dc26f1e6aee37f86ee0,Multi-language
9bcce9aae0b401355938667099d2828f,PDF generation
996404c443a7f7fc7ea2229d24670e21,Print and export
7f71e5efa254212dd209fc9d19e89dd3,Loyalty and rewards
ee19d8dc2273f3297a5f62479dd582f8,Reward programs
940417620dcf2b1f9756f65776f86aa0,Cash back programs
11306a3102ee37a7d6720a42ac94f38d,Digital wallets
0aab81de5c4c87021772015efc184d67,Points
9ef6f8ed52dc6c99a5eabce66bbfaa35,Cash back
a96642859a4c6e824fdd0be48fc028be,Store credit
99b3b409bf694d0987506adc396386a2,Free shipping
57d099a351906e56a5850c4d5deccca2,Returns and exchanges
b7c1d0c8b707eef794ac22f0a3069b87,Manual refunds
2dcaf09e425edee27ddbbe06dc8f34fc,Gift cards
56ca5de714b3220291ccc556451bdd3c,Email notifications
15a4d59740e28f622e101b5e9a18b0dd,Refund management
8fa0c082312466005ee1599e7164f300,Stock updates
68c4283db8074b12df1660b31c0220a9,Analytics
9d47b56c1bf63c0be26c06abca448366,Product variants
1c84c21482bbe6c894b45ddf9fa43fab,Checkboxes
700f22028efd8140c3797b5195ba7751,Conditional logic
980d14c0c85495b48b9a9134658e6121,Fonts
7877adcb96eb8221c075f0008093bbf7,Dates
f412b80e160b69732c123964aae04302,Dimensions
dae958162d8de6984b37065a42bb88c6,Dropdowns
d81924db230a4d115f2279f5e7974755,File uploads
a2cf607334d00674310fac472576556f,Multi-select
ee5c35ce3d081da90622a10d2272ed5e,Numbers
6e0a363f6c524c0f11980216c556630b,Radio buttons
77a1a4362cf868c43c8ae9acb4a7490f,Custom text
3cb420e6c8dac2dc1f3dd5e0038c96c2,Gift wrap
e732d19bf6d6930dd8ad89599c19128b,Custom CSS
c8dbf4e19b60c65876d8f567695553be,Custom HTML
cd52bb4d6b5169d96e62db14db217d5a,Size chart
5ebeb6065f64f2346dbb00ab789cf001,Preview
e73a15af1ff7b33d4b70907bde58bd9e,Import and export
23a3fe562c0b0df875808ec8f9046fae,Conditional pricing
1a82ebf4e0eb69a34aa273fe39e7e5fb,Discount options
f9ef7d9e905d1a4504697a5c6dd610d7,Add-ons
2411cbd42678d2ea6ebf52a3a672506f,Variant upcharges
6fd2cbd111a92646e3cd628a4b90a44e,Setup charges
44daea8fc6130d27ffaf3dd3493c2df9,Hide out-of-stock
5b3559ded4e134e8cce234a083569ccb,SKU management
4e9795dd1992b904e7fbdb850e30e8d4,Stock availability
d4a7b81179bf2cc41b070376832e2d5c,In-stock display
55c212402c5065b676ae33b0493f6be8,Manual update
42cfc5ceec59ad871f5f1b0b8e6683c5,Auto-update
838a62da55e284febd37c469fab61cb2,Custom file upload
bff139fa05ac583f685a523ab3d110a0,PNG
